Final Rank;Dataset;Bootstrap Rank;Frequency (%);Rank Count
1;"MLP";1;84;441
1;"MLP";2;16;84
2;"GradientBoosting";1;16;84
2;"GradientBoosting";2;76.38;401
2;"GradientBoosting";3;7.62;40
3;"RandomForest";2;0.95;5
3;"RandomForest";3;50.1;263
3;"RandomForest";4;42.29;222
3;"RandomForest";5;6.48;34
3;"RandomForest";6;0.19;1
4;"LogisticRegression";4;42.48;223
4;"LogisticRegression";5;57.52;302
5;"ExtraTrees";4;1.33;7
5;"ExtraTrees";5;29.14;153
5;"ExtraTrees";6;14.67;77
5;"ExtraTrees";7;54.86;288
6;"AdaBoost";2;6.67;35
6;"AdaBoost";3;42.29;222
6;"AdaBoost";4;0.19;1
6;"AdaBoost";5;5.52;29
6;"AdaBoost";6;45.33;238
7;"SVM_Linear";4;13.71;72
7;"SVM_Linear";5;1.33;7
7;"SVM_Linear";6;39.81;209
7;"SVM_Linear";7;45.14;237
8;"KNN";8;100;525
9;"DecisionTree";9;100;525
10;"NaiveBayes";10;100;525
