Rank;Dataset;Rank CI (95%);Mean AUC (± SD);Mean Sensitivity (± SD);Mean Specificity (± SD)
"1";"MLP";"[1.00, 2.00]";"0.792 ± 0.019";"0.744 ± 0.023";"0.710 ± 0.027"
"2";"GradientBoosting";"[1.00, 3.00]";"0.797 ± 0.019";"0.692 ± 0.024";"0.778 ± 0.024"
"3";"RandomForest";"[3.00, 5.00]";"0.768 ± 0.021";"0.691 ± 0.024";"0.727 ± 0.026"
"4";"LogisticRegression";"[4.00, 5.00]";"0.787 ± 0.020";"0.669 ± 0.027";"0.780 ± 0.025"
"5";"ExtraTrees";"[5.00, 7.00]";"0.750 ± 0.020";"0.679 ± 0.026";"0.707 ± 0.026"
"6";"AdaBoost";"[2.00, 6.00]";"0.791 ± 0.020";"0.644 ± 0.026";"0.802 ± 0.022"
"7";"SVM_Linear";"[4.00, 7.00]";"0.788 ± 0.020";"0.634 ± 0.028";"0.815 ± 0.023"
"8";"KNN";"[8.00, 8.00]";"0.674 ± 0.018";"0.609 ± 0.025";"0.659 ± 0.027"
"9";"DecisionTree";"[9.00, 9.00]";"0.633 ± 0.018";"0.629 ± 0.023";"0.636 ± 0.024"
"10";"NaiveBayes";"[10.00, 10.00]";"0.715 ± 0.022";"0.334 ± 0.023";"0.876 ± 0.023"
