,AUC,Sensitivity,Specificity,Total,Mean_Score_%
GradientBoosting,95.77777777777776,80.11111111111111,60.0,235.88888888888886,78.62962962962962
MLP,80.0,99.8888888888889,29.555555555555557,209.44444444444446,69.81481481481482
AdaBoost,76.88888888888889,38.88888888888889,78.44444444444446,194.22222222222223,64.74074074074075
LogisticRegression,65.33333333333333,60.22222222222222,62.77777777777778,188.33333333333331,62.77777777777777
SVM_Linear,69.33333333333334,28.999999999999996,87.44444444444444,185.77777777777777,61.925925925925924
RandomForest,45.55555555555556,76.77777777777777,41.0,163.33333333333331,54.444444444444436
ExtraTrees,33.77777777777778,67.33333333333333,28.77777777777778,129.88888888888889,43.2962962962963
NaiveBayes,22.0,0.0,100.0,122.0,40.666666666666664
KNN,11.333333333333332,18.88888888888889,9.333333333333334,39.55555555555556,13.185185185185185
DecisionTree,0.0,28.88888888888889,2.666666666666667,31.555555555555557,10.518518518518519
