,RandomForest,GradientBoosting,SVM_Linear,LogisticRegression,DecisionTree,KNN,NaiveBayes,AdaBoost,ExtraTrees,MLP
RandomForest,0.0,0.0219,0.09034,0.99992,0.0,0.0,0.0,0.00354,0.0,0.99962
GradientBoosting,0.00198,0.0,0.01762,0.99982,0.0,0.0,0.0,0.0,0.0,0.99918
SVM_Linear,0.02162,0.04214,0.0,1.0,0.0,0.0,0.0,0.00038,0.0,0.9991
LogisticRegression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36842
DecisionTree,1.0,1.0,1.0,1.0,0.0,0.92628,0.0,1.0,1.0,1.0
KNN,1.0,1.0,1.0,1.0,0.06574,0.0,0.0,1.0,0.95882,1.0
NaiveBayes,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
AdaBoost,0.93694,0.91886,0.92168,1.0,0.0,0.0,0.0,0.0,0.00632,1.0
ExtraTrees,0.99996,1.0,0.99994,1.0,2e-05,0.00012,0.0,0.99112,0.0,1.0
MLP,0.00036,0.00018,0.00044,0.57462,0.0,0.0,0.0,0.0,0.0,0.0
