Model,Leaderboard Rank (Relative),HERA Rank,95% Rank CI,Reported Accuracy,Intersected Accuracy,SD (Block-wise)
Qwen2.5-72B,1,1,"[1, 2]",0.5617,0.5630,0.023
Mistral-Large-2411,2,2,"[1, 2]",0.5562,0.5560,0.025
Llama-3.3-70B,3,4,"[3, 4]",0.5332,0.5330,0.024
Phi-4,4,3,"[3, 4]",0.5295,0.5380,0.022
DeepSeek-R1-Llama-70B,5,5,"[5, 6]",0.4748,0.4750,0.024
DeepSeek-R1-Qwen-32B,6,6,"[5, 6]",0.4687,0.4690,0.023
Gemma-2-27B,7,7,"[7, 7]",0.4451,0.4450,0.021
Qwen2.5-7B,8,8,"[8, 8]",0.4289,0.4290,0.023
Llama-3.1-8B,9,10,"[9, 10]",0.3798,0.3800,0.025
Mistral-Nemo,10,11,"[11, 11]",0.3374,0.3520,0.024
DeepSeek-R1-Llama-8B,11,12,"[12, 12]",0.2089,0.2090,0.016
Gemma-2-9B,12,9,"[9, 10]",0.1161,0.3880,0.026
